epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
46,3735.78,1.0798,0.54827,0.95234,0.78619,0.72192,0.74581,0.48047,1.03269,0.49161,0.94533,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,3816.65,1.07939,0.55141,0.95351,0.76176,0.72498,0.75543,0.48221,1.03122,0.49383,0.94339,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,3897.62,1.07616,0.54622,0.94962,0.80857,0.72352,0.7509,0.47965,1.03511,0.49087,0.94661,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,3978.54,1.07113,0.54534,0.94963,0.7863,0.72754,0.75047,0.48328,1.03119,0.48664,0.94519,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,4059.49,1.07967,0.54816,0.95506,0.83079,0.68123,0.74396,0.47899,1.02377,0.48666,0.94262,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,4140.37,1.06332,0.54009,0.94836,0.79876,0.71252,0.74759,0.48022,1.02426,0.48737,0.94201,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,4221.23,1.06746,0.54015,0.94763,0.78987,0.72769,0.74599,0.47943,1.02808,0.48789,0.94307,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,4302.13,1.06049,0.53857,0.94738,0.78145,0.72979,0.7481,0.48185,1.0252,0.48397,0.94347,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,4383.24,1.05774,0.53396,0.94548,0.7959,0.72723,0.75583,0.48924,1.017,0.4812,0.941,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,4464.42,1.05256,0.53071,0.94207,0.77516,0.73409,0.75546,0.49157,1.01606,0.47939,0.94028,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,4545.54,1.05396,0.53297,0.94553,0.79033,0.72783,0.75409,0.48422,1.01845,0.47949,0.94012,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,4626.67,1.05511,0.53363,0.94586,0.77694,0.73186,0.75088,0.48417,1.02159,0.48188,0.94,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,4707.72,1.05078,0.5288,0.94213,0.78963,0.73001,0.75156,0.48457,1.02046,0.47991,0.94051,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,4788.72,1.05066,0.52414,0.93997,0.79199,0.74515,0.7579,0.4861,1.0184,0.47818,0.94048,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,4869.84,1.04459,0.52352,0.93917,0.81081,0.71795,0.75608,0.48667,1.02015,0.48091,0.94185,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,4951.04,1.04743,0.5192,0.93951,0.79295,0.73294,0.75897,0.48893,1.022,0.4798,0.94236,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,5032.33,1.03997,0.51956,0.9392,0.7872,0.73579,0.75757,0.48971,1.02148,0.47852,0.94131,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,5113.54,1.03747,0.51917,0.93991,0.795,0.73551,0.75603,0.49015,1.01938,0.47686,0.94111,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,5194.73,1.03536,0.51483,0.93657,0.7887,0.73038,0.7524,0.48888,1.01777,0.47628,0.94088,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,5276,1.03506,0.51709,0.93587,0.80504,0.73195,0.75689,0.4881,1.01594,0.47598,0.94008,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,5357.15,1.03006,0.51226,0.93605,0.8071,0.73036,0.76255,0.49335,1.01603,0.47591,0.94032,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,5438.3,1.03087,0.50955,0.93479,0.7947,0.73844,0.76339,0.4903,1.01678,0.47582,0.94098,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
