epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
49,8300.16,0.98832,0.48385,0.92862,0.78832,0.76173,0.76543,0.50137,0.98342,0.46016,0.93471,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,8468.84,0.98213,0.48049,0.92602,0.79969,0.76413,0.76703,0.5019,0.98585,0.45902,0.93532,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,8637.46,0.98437,0.48187,0.92414,0.79909,0.76015,0.76511,0.50252,0.98152,0.45603,0.93341,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,8806.18,0.97896,0.47837,0.92337,0.80753,0.75211,0.76941,0.50731,0.98068,0.45617,0.93447,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,8974.91,0.97444,0.47641,0.92244,0.80466,0.76026,0.77548,0.51107,0.9813,0.45143,0.93505,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,9143.63,0.97091,0.47152,0.92133,0.79554,0.74683,0.77006,0.50557,0.98173,0.4509,0.93653,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,9312.26,0.9663,0.47208,0.92224,0.80709,0.74917,0.77423,0.51202,0.97952,0.45214,0.93544,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,9481.81,0.96323,0.46895,0.9181,0.81764,0.74388,0.76757,0.50931,0.97845,0.45126,0.93404,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,9651.49,0.95729,0.46431,0.91639,0.79678,0.75985,0.76773,0.50644,0.97768,0.44911,0.93273,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,9821.5,0.96185,0.46612,0.91566,0.79887,0.76564,0.77676,0.51003,0.98022,0.44827,0.93505,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,9991.59,0.94895,0.46078,0.91472,0.79523,0.76745,0.77009,0.50898,0.97886,0.44807,0.93513,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,10161.8,0.95384,0.45982,0.91364,0.80704,0.74842,0.76797,0.50794,0.97839,0.44844,0.93555,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,10332.2,0.95303,0.45916,0.9159,0.80602,0.7565,0.76672,0.50616,0.98098,0.44911,0.93632,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,10503,0.94114,0.45239,0.90808,0.79856,0.76428,0.76965,0.50845,0.98024,0.44828,0.93602,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,10673.4,0.93513,0.45153,0.90906,0.77785,0.77503,0.76828,0.50833,0.97854,0.44629,0.9359,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,10843.8,0.93489,0.44935,0.90771,0.79554,0.76741,0.77822,0.51191,0.97646,0.44609,0.93542,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,11014.1,0.92933,0.44803,0.91014,0.80115,0.76674,0.77328,0.50954,0.97707,0.44575,0.93566,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,11184.4,0.92573,0.443,0.90689,0.82489,0.74396,0.77015,0.51124,0.9756,0.44639,0.9345,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,11354.6,0.92686,0.44481,0.9074,0.79108,0.7665,0.77183,0.51201,0.97557,0.44617,0.93513,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,11524.8,0.92013,0.44066,0.90487,0.78465,0.76744,0.77105,0.51331,0.97565,0.44608,0.93543,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,11695,0.91535,0.43675,0.90207,0.78848,0.75701,0.77203,0.51159,0.97603,0.4442,0.93521,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,11865.2,0.90812,0.43534,0.90105,0.81992,0.74527,0.7734,0.51405,0.97445,0.44032,0.93508,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,12035.4,0.91115,0.43332,0.89924,0.80147,0.75547,0.77488,0.51586,0.9731,0.43986,0.93479,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,12205.6,0.90512,0.4328,0.89859,0.81412,0.75352,0.77185,0.51469,0.97288,0.43941,0.93598,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,12375.7,0.8958,0.42678,0.89815,0.79945,0.76104,0.77132,0.51335,0.97129,0.43973,0.93529,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,12545.9,0.90243,0.43282,0.89813,0.80595,0.75611,0.77172,0.51123,0.97178,0.44018,0.93623,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,12716.3,0.89681,0.42794,0.89756,0.82611,0.7465,0.76987,0.51084,0.97048,0.44013,0.93628,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,12887,0.89056,0.42138,0.89808,0.81748,0.7514,0.76942,0.50952,0.96995,0.43886,0.93678,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,13057.8,0.88436,0.41994,0.89426,0.83073,0.74295,0.76878,0.50956,0.97028,0.43848,0.9375,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,13229,0.88167,0.41607,0.89321,0.82124,0.74675,0.76829,0.5078,0.97029,0.43884,0.93785,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,13400.1,0.8806,0.41761,0.89361,0.81343,0.75077,0.77165,0.51161,0.97101,0.43884,0.93852,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,13571.2,0.87878,0.41717,0.89147,0.80506,0.75992,0.77501,0.51234,0.97221,0.43868,0.93906,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,13742.3,0.8748,0.4146,0.88937,0.8124,0.75422,0.77211,0.51014,0.97197,0.4377,0.93907,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,13913.3,0.87309,0.4098,0.89044,0.79033,0.76644,0.76905,0.50983,0.97131,0.43708,0.93922,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,14084.3,0.86772,0.40868,0.88884,0.79894,0.75746,0.76882,0.50849,0.97106,0.43691,0.93939,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,14255.4,0.86134,0.40764,0.88148,0.80064,0.75499,0.76727,0.50738,0.97067,0.4375,0.93989,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,14426.5,0.85841,0.40644,0.88493,0.8003,0.75993,0.76991,0.50777,0.97047,0.4367,0.93979,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,14597.6,0.85707,0.40138,0.88489,0.80068,0.76253,0.77279,0.50874,0.97098,0.43625,0.94032,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,14768.6,0.84566,0.39839,0.88282,0.79297,0.7676,0.77009,0.50784,0.97142,0.43641,0.94078,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,14939.7,0.84299,0.39685,0.88131,0.79695,0.7724,0.77223,0.50779,0.9716,0.4362,0.94124,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,15110.8,0.84148,0.39587,0.87957,0.80035,0.77094,0.77246,0.50731,0.97163,0.43679,0.94159,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,15281.9,0.84175,0.39514,0.87891,0.80102,0.77181,0.77234,0.50748,0.97169,0.43687,0.94179,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,15452.9,0.80959,0.37158,0.87509,0.79926,0.77258,0.77219,0.50721,0.97283,0.43671,0.94259,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,15622.8,0.79798,0.3657,0.87587,0.80253,0.77188,0.77427,0.5074,0.97371,0.43673,0.94314,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,15792.3,0.78955,0.36177,0.87251,0.80668,0.77039,0.77519,0.50818,0.97474,0.43686,0.94387,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,15961.8,0.78934,0.36082,0.87015,0.79892,0.77292,0.77573,0.50867,0.97516,0.43826,0.94436,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,16131.2,0.78786,0.35907,0.87011,0.80902,0.76724,0.77477,0.50711,0.97571,0.43836,0.94463,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,16300.6,0.77955,0.35639,0.86857,0.80643,0.76802,0.77318,0.50684,0.97622,0.43824,0.94505,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,16470.2,0.77546,0.35277,0.86722,0.82006,0.75713,0.77282,0.50743,0.97619,0.43715,0.94538,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,16639.6,0.768,0.34974,0.86294,0.82247,0.75716,0.7731,0.5072,0.97624,0.43697,0.94604,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,16809,0.76847,0.347,0.86678,0.82204,0.75851,0.77246,0.50715,0.97698,0.43714,0.94652,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,16978.5,0.76614,0.3476,0.86543,0.82321,0.75937,0.77242,0.5071,0.97702,0.4375,0.94679,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
